,doi,title,abstract_background,journal_name,publication_year,publication_date
0,10.1016/j.jss.2017.10.008,A lymphedema surveillance program for breast cancer patients reveals the promise of surgical prevention.,"Breast cancer-related lymphedema (BCRL) is one of the most significant survivorship issues in breast cancer management. Presently, there is no cure for BCRL. The single greatest risk factor for developing BCRL is an axillary lymph node dissection (ALND). Lymphatic Microsurgical Preventative Healing Approach (LYMPHA) is a surgical procedure to reduce the risk of lymphedema in patients undergoing an ALND. We present our single institution results after offering LYMPHA in the context of an established lymphedema surveillance program.",The Journal of surgical research,2018,2/6/18
1,10.1016/j.vaccine.2018.01.071,Detection of rotavirus before and after monovalent rotavirus vaccine introduction and vaccine effectiveness among children in mainland Tanzania.,"Monovalent rotavirus vaccine (RV1) was introduced in Tanzania in January 2013 under the Reach Every Child initiative, to be given at ages 6 and 10â€¯weeks. We used the sentinel hospital rotavirus surveillance system to examine the rotavirus detection rate before and after vaccine introduction and estimate vaccine effectiveness.",Vaccine,2018,4/16/18
2,10.1016/j.vaccine.2018.03.069,Distribution of rotavirus genotypes associated with acute diarrhoea in Zimbabwean children less than five years old before and after rotavirus vaccine introduction.,Sentinel surveillance for diarrhoea is important to monitor changes in rotavirus epidemiological trends and circulating genotypes among children under 5â€¯years before and after vaccine introduction. The Zimbabwe Ministry of Health and Child Care introduced rotavirus vaccine in national immunization program in May 2014.,Vaccine,2018,4/10/18
3,10.1097/OLQ.0000000000000798,Chlamydia prevalence trends among women and men entering the National Job Training Program from 1990 through 2012.,"Evaluating chlamydia prevalence trends from sentinel surveillance is important for understanding population disease burden over time. However, prevalence trend estimates from surveillance data may be misleading if they do not account for changes in risk profiles of individuals who are screened (case mix) and changing performance of the screening tests used.",Sexually transmitted diseases,2018,2/22/18
4,10.1111/irv.12489,Using a hospital admission survey to estimate the burden of influenza-associated severe acute respiratory infection in one province of Cambodia-methods used and lessons learned.,"Understanding the burden of influenza-associated severe acute respiratory infection (SARI) is important for setting national influenza surveillance and vaccine priorities. Estimating influenza-associated SARI rates requires hospital-based surveillance data and a population-based denominator, which can be challenging to determine.",Influenza and other respiratory viruses,2018,2/18/18
5,10.1111/irv.12554,Viral etiologies of influenza-like illness and severe acute respiratory infections in Thailand.,"Information on the burden, characteristics and seasonality of non-influenza respiratory viruses is limited in tropical countries.",Influenza and other respiratory viruses,2018,3/9/18
6,10.1186/s12879-018-2982-3,"Comparison of the prevalence of respiratory viruses in patients with acute respiratory infections at different hospital settings in North China, 2012-2015.",Acute respiratory infections (ARIs) are a great public health challenge globally. The prevalence of respiratory viruses in patients with ARIs attending at different hospital settings is fully undetermined.,BMC infectious diseases,2018,2/10/18
7,10.1186/s12879-018-2984-1,"Mortality estimates among adult patients with severe acute respiratory infections from two sentinel hospitals in southern Arizona, United States, 2010-2014.","From October 2010 through February 2016, Arizona conducted surveillance for severe acute respiratory infections (SARI) among adults hospitalized in the Arizona-Mexico border region. There are few accurate mortality estimates in SARI patients, particularly in adults â‰¥â€‰65Â years old. The purpose of this study was to generate mortality estimates among SARI patients that include deaths occurring shortly after hospital discharge and identify risk factors for mortality.",BMC infectious diseases,2018,2/14/18
8,10.1186/s12913-018-3008-y,Use of a public-private partnership in malaria elimination efforts in Sri Lanka; a case study.,"In special circumstances, establishing public private partnerships for malaria elimination may achieve targets faster than the state sector acting by itself. Following the end of the separatist war in Sri Lanka in 2009, the Anti Malaria Campaign (AMC) of Sri Lanka intensified malaria surveillance jointly with a private sector partner, Tropical and Environmental Diseases and Health Associates Private Limited (TEDHA) with a view to achieving malaria elimination targets by 2014.",BMC health services research,2018,3/24/18
9,10.1186/s12916-018-1015-9,Clinical assessment is a neglected component of outbreak preparedness: evidence from refugee camps in Greece.,"Refugees may have an increased vulnerability to infectious diseases, and the consequences of an outbreak are more severe in a refugee camp. When an outbreak is suspected, access to clinical information is critical for investigators to verify that an outbreak is occurring, to determine the cause and to select interventions to control it. Experience from previous outbreaks suggests that the accuracy and completeness of this information is poor. This study is the first to assess the adequacy of clinical characterisation of acute medical illnesses in refugee camps. The objective is to direct improvements in outbreak identification and management in this vulnerable setting.",BMC medicine,2018,3/20/18
