,requestor,doi,title,abstract_background,journal_name,publication_year,publication_date
0,Francoise Pickart,10.1002/14651858.CD002097.pub4,Primary care professionals providing non-urgent care in hospital emergency departments.,"In many countries emergency departments (EDs) are facing an increase in demand for services, long waits, and severe crowding. One response to mitigate overcrowding has been to provide primary care services alongside or within hospital EDs for patients with non-urgent problems. However, it is unknown how this impacts the quality of patient care and the utilisation of hospital resources, or if it is cost-effective. This is the first update of the original Cochrane Review published in 2012.",The Cochrane database of systematic reviews,2018,2018-02-14
1,Francoise Pickart,10.1177/0885066618761637,"Complementary Role of Hypothermia Identification to the Quick Sequential Organ Failure Assessment Score in Predicting Patients With Sepsis at High Risk of Mortality: A Retrospective Analysis From a Multicenter, Observational Study.","Although the quick Sequential Organ Failure Assessment (qSOFA) has been recommended for identifying patients at higher risk of hospital death, it has only a 60% sensitivity for in-hospital mortality. On the other hand, hypothermia associates with increased mortality and organ failure in patients with sepsis. This study aimed to assess the predictive validity of qSOFA for identifying patients with sepsis at higher risk of multiple organ dysfunction or death and the complementary effect of hypothermia.",Journal of intensive care medicine,2018,2018-03-17
2,Francoise Pickart,10.3346/jkms.2018.33.e90,Factors Associated with Post-traumatic Stress Symptoms in Students Who Survived 20 Months after the Sewol Ferry Disaster in Korea.,The Sewol ferry disaster caused national shock and grief in Korea. The present study examined the prevalence and associated factors of post-traumatic stress disorder (PTSD) symptoms among the surviving students 20 months after that disaster.,Journal of Korean medical science,2018,2018-03-02
3,Francoise Pickart,10.1002/14651858.CD006211.pub3,Comprehensive geriatric assessment for older adults admitted to hospital.,"Comprehensive geriatric assessment (CGA) is a multi-dimensional, multi-disciplinary diagnostic and therapeutic process conducted to determine the medical, mental, and functional problems of older people with frailty so that a co-ordinated and integrated plan for treatment and follow-up can be developed. This is an update of a previously published Cochrane review.",The Cochrane database of systematic reviews,2017,2017-09-13
4,Francoise Pickart,10.1002/ajim.22786,Assessment of cumulative health risk in the World Trade Center general responder cohort.,"Multiple comorbidities have been reported among rescue/recovery workers responding to the 9/11/2001 WTC disaster. In this study, we developed an index that quantifies the cumulative physiological burden of comorbidities and predicts life expectancy in this cohort.",American journal of industrial medicine,2017,2017-11-18
5,Francoise Pickart,10.1002/hed.24748,Cohort study of oncologic emergencies in patients with head and neck cancer.,Treatments for head and neck squamous cell carcinoma (HNSCC) are associated with toxicities that lead to emergency department presentation.,Head & neck,2017,2017-03-28
6,Francoise Pickart,10.1007/s00101-017-0281-9,[Impact assessment of inadequate hospital disaster management : Reflection based on a risk model].,"According to legal regulations alarm and emergency plans have to be developed and kept current in hospitals. However, often neither the hospital administration, nor the medical employees and nursing staff pay the necessary attention to these alarm and evacuation plans. In particular, risks and consequences - including financial ones - due to insufficient planning, are not adequately considered.",Der Anaesthesist,2017,2017-02-18
7,Francoise Pickart,10.1007/s00268-017-3915-9,Derivation and Validation of a Novel Physiological Emergency Surgery Acuity Score (PESAS).,We present a novel and abbreviated Physiological Emergency Surgery Acuity Score (PESAS) that assesses the severity of disease at presentation in patients undergoing Emergency Surgery (ES).,World journal of surgery,2017,2017-02-25
8,Francoise Pickart,10.1016/S0140-6736(17)30782-1,Mortality risks associated with emergency admissions during weekends and public holidays: an analysis of electronic health records.,"Weekend hospital admission is associated with increased mortality, but the contributions of varying illness severity and admission time to this weekend effect remain unexplored.","Lancet (London, England)",2017,2017-05-14
9,Francoise Pickart,10.1016/S0140-6736(17)31833-0,"Global, regional, and national under-5 mortality, adult mortality, age-specific mortality, and life expectancy, 1970-2016: a systematic analysis for the Global Burden of Disease Study 2016.","Detailed assessments of mortality patterns, particularly age-specific mortality, represent a crucial input that enables health systems to target interventions to specific populations. Understanding how all-cause mortality has changed with respect to development status can identify exemplars for best practice. To accomplish this, the Global Burden of Diseases, Injuries, and Risk Factors Study 2016 (GBD 2016) estimated age-specific and sex-specific all-cause mortality between 1970 and 2016 for 195 countries and territories and at the subnational level for the five countries with a population greater than 200 million in 2016.","Lancet (London, England)",2017,2017-09-19
